description,ids
Toxin relE,"300852,83333,562"
Toxin relE,"300852,83333,562"
mRNA,300852
P-site tRNAfMet,300852
P-site tRNAfMet,300852
A-site tRNAAla(GGC) U32-A38,300852
A-site tRNAAla(GGC) U32-A38,300852
mRNA,300852
Ribosome production factor 1,559292
Eukaryotic translation initiation factor 6,559292
Ribosome assembly factor MRT4,559292
tRNA-fMet,169963
mRNA,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
Cadherin-1,9606
PE tRNA,9606
mRNA,9606
AA tRNA,9606
Peptide chain release factor 2,562
mRNA,562
tRNAfMet,562
Quinupristin,"83333,300852,32630"
Quinupristin,"83333,300852,32630"
Peptide chain release factor 2,562
Alternative ribosome-rescue factor A,562
fMet-NH-tRNA(fMet),562
mRNA,562
TRNA FMET (UNMODIFIED BASES),300852
TRNA FMET (UNMODIFIED BASES),300852
TRNA FMET (UNMODIFIED BASES),300852
TRNA FMET (UNMODIFIED BASES),300852
MRNA,300852
TRNA FMET (UNMODIFIED BASES),300852
MRNA,300852
Ribosome hibernation promoting factor,"246196,1772"
A-site Met-tRNA(Met),"9986,2697049"
mRNA containing SARS-CoV-2 sequence,"9986,2697049"
P-site tRNA(Pro),"9986,2697049"
Elongation factor G,"83333,866768"
tRNAfMet,"83333,866768"
tRNAPro,"83333,866768"
mRNA,"83333,866768"
RIBOSOME RECYCLING FACTOR,300852
RIBOSOME RECYCLING FACTOR,300852
MRNA,300852
TRNA-FMET,300852
TRNA-FMET,300852
MRNA,300852
"Ribosome-recycling factor, mitochondrial",9606
mt-tRNAVal,9606
E-site tRNA,9606
Elongation factor Tu 2,83333
tRNALys,83333
tRNAfMet,83333
tRNAfMet,83333
mRNA,83333
A-site and E-site tRNAs,"300852,274"
P-site tRNA,"300852,274"
A-site and E-site tRNAs,"300852,274"
A-site and E-site tRNAs,"300852,274"
A-site and E-site tRNAs,"300852,274"
mRNA,"300852,274"
mRNA,"300852,274"
P-site tRNA,"300852,274"
Peptide chain release factor RF2,"83333,562"
Alternative ribosome-rescue factor A,"83333,562"
fMet-tRNA (P- and E-site),"83333,562"
fMet-tRNA (P- and E-site),"83333,562"
truncated mRNA,"83333,562"
mRNA,9986
P/E tRNA,9986
P-SITE tRNA,300852
E-SITE tRNA,300852
mRNA,300852
mRNA,300852
A-SITE tRNA,300852
A-SITE tRNA,300852
P-SITE tRNA,300852
E-SITE tRNA,300852
tRNA-Tyr,300852
tRNA-fMet,300852
tRNA-fMet,300852
mRNA,300852
tRNA-Tyr,300852
tRNA-Tyr,300852
tRNA-Tyr,300852
mRNA,300852
Elongation factor Tu,562
tRNAfMet,562
mRNA,562
tRNAfMet,562
tRNAPhe,562
P-site tRNA f-Met,300852
A-site tRNA Thr,300852
messenger RNA,300852
P-site tRNA f-Met,300852
A-site tRNA Thr,300852
messenger RNA,300852
Eukaryotic peptide chain release factor subunit 1,"9986,469008,2697049"
P-site Leu-tRNA(Leu),"9986,469008,2697049"
E-site tRNA,"9986,469008,2697049"
mRNA containing SARS-CoV-2 sequence,"9986,469008,2697049"
P-tRNA,562
mitochondrial Val tRNA,9606
mitochondrial tRNA,9606
Peptide chain release factor 1,562
mRNA,562
P-tRNA,562
fMet-NH-tRNA(fMet),562
mRNA,562
Eukaryotic translation initiation factor 6,"559292,4932,562"
tRNA-fMETi,1351
Bacterial peptide chain release factor 2 (RF-2),"262724,469008"
Bacterial peptide chain release factor 2 (RF-2),"262724,469008"
messenger RNA (5'-R(*AP*AP*UP*GP*UP*AP*G)-3'),"262724,469008"
P-site tRNA-fMet,"262724,469008"
messenger RNA (5'-R(*AP*AP*UP*GP*UP*AP*G)-3'),"262724,469008"
P-site tRNA-fMet,"262724,469008"
ELONGATION FACTOR G,300852
Z-site tRNA,9986
P-site tRNA,9986
mRNA,9986
E-site tRNA,"9986,9606,469008"
mRNA (UGA stop codon),"9986,9606,469008"
P-site tRNA,"9986,9606,469008"
mRNA,93061
messenger RNA,300852
tRNA acceptor end mimic,300852
P-site tRNA fMet,300852
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
messenger RNA,300852
Linopristin,"83333,300852,32630"
Linopristin,"83333,300852,32630"
Elongation factor Tu 2,"562,331111"
Phe-tRNA-Phe,"562,331111"
mRNA,"562,331111"
tRNA-fMet,"562,331111"
tRNA-fMet,"562,331111"
mRNA,562
tRNAPhe,562
tRNAfMet,562
mRNA A-site fragment,300852
tRNA ASL Escherichia coli Arg1,300852
tRNA CCAend,562
"Transcription termination factor 4, mitochondrial",9606
mitochondrial tRNAVal,9606
Peptide chain release factor 3,"562,469008"
tRNALys,300852
E. coli tRNAfMet,300852
tRNALys,300852
E. coli tRNAfMet,300852
tRNALys,300852
tRNALys,300852
mRNA,300852
mRNA,300852
"Transcription termination factor 4, mitochondrial",9606
mitochondrial tRNAVal,9606
phazolicin,"562,1223565"
messenger RNA,300852
P-site tRNA-fMet,300852
P-site tRNA-fMet,300852
messenger RNA,300852
mRNA,9606
P-site tRNA,9606
mitochondrial tRNAVal,9606
A-site tRNA with aminoacylation,9606
MRNA,300852
MRNA,300852
TRNA-FMET,300852
TRNA-FMET,300852
TRNA-FMET,300852
TRNA-FMET,300852
E-site and P-site tRNA (fMet),562
E-site and P-site tRNA (fMet),562
mRNA with 15 nt long spacer,562
Ala-tRNA (A/P-site),224308
A/P-site tRNA,300852
A/P-site tRNA,300852
mRNA,300852
mRNA,300852
A/P-site tRNA,300852
A/P-site tRNA,300852
E-site tRNA,300852
E-site tRNA,300852
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
mRNA,"300852,562"
tRNA-fMet,"300852,562"
tRNA-fMet,"300852,562"
mRNA,"300852,562"
tRNA-fMet,"300852,562"
tRNA-fMet,"300852,562"
Peptide chain release factor 2,562
mRNA,562
P-tRNA,562
Peptide chain release factor 1,"300852,585035,511693"
Peptide chain release factor 1,"300852,585035,511693"
P-site tRNA fMet,"300852,585035,511693"
messenger RNA,"300852,585035,511693"
P-site tRNA fMet,"300852,585035,511693"
messenger RNA,"300852,585035,511693"
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,300852
P-site tRNA,300852
tRNA,4932
mRNA,562
tRNAfMet,562
tRNAfMet,562
tRNA,9606
P-site tRNA,"9986,9606,562"
Peptide chain release factor RF2,"83333,562"
Alternative ribosome-rescue factor A,"83333,562"
fMet-tRNA (P- and E-site),"83333,562"
truncated mRNA,"83333,562"
fMet-tRNA (P- and E-site),"83333,562"
"Transcription termination factor 4, mitochondrial",9606
MT-TRNAVAL,9606
tRNALys,300852
tRNALys,300852
tRNALys,300852
mRNA,300852
tRNAfMet,300852
tRNAfMet,300852
mRNA,300852
tRNALys,300852
mRNA,83333
P-site tRNA,83333
Eukaryotic translation initiation factor 5,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 2 subunit gamma,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 1A,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 2 subunit beta,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 3 subunit A,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 3 subunit B,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 2 subunit alpha,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 3 subunit G,"284590,559292,4932,469008"
Eukaryotic translation initiation factor 3 subunit I,"284590,559292,4932,469008"
tRNAi,"284590,559292,4932,469008"
mRNA (31-MER),"284590,559292,4932,469008"
P-site tRNA fMet,300852
P-site tRNA fMet,300852
E-Site tRNA Phe and A-site tRNA Phe,300852
mRNA,300852
E-Site tRNA Phe and A-site tRNA Phe,300852
E-Site tRNA Phe and A-site tRNA Phe,300852
E-Site tRNA Phe and A-site tRNA Phe,300852
mRNA,300852
P-site tRNAfMet,"83333,511693"
E-site tRNAfMet,"83333,511693"
mRNA,"83333,511693"
A-site tRNAPhe,"83333,511693"
Peptide chain release factor 1,562
mRNA,562
P-tRNA,562
Eukaryotic translation initiation factor 6,4932
tRNA-Ala,4932
P/E-tRNA,"9986,9606"
A/P-tRNA,"9986,9606"
mRNA,"9986,9606"
mRNA,562
tRNAPhe,562
tRNAfMet,562
tRNAfMet,562
P-site tRNA,300852
mRNA,300852
Cytidine-Puromycin,300852
mRNA,300852
P-site tRNA,300852
Cytidine-Puromycin,300852
tRNAfMet,562
mRNA,562
Eukaryotic translation initiation factor 6,559292
Peptide chain release factor 1,"300852,331111,562"
Peptide chain release factor 1,"300852,331111,562"
messenger RNA,"300852,331111,562"
P-site tRNA fMet,"300852,331111,562"
P-site tRNA fMet,"300852,331111,562"
messenger RNA,"300852,331111,562"
P-site tRNA,"300852,287,562"
Proline tRNA,"562,9606"
Titin,"562,9606"
"Transcription termination factor 4, mitochondrial",9606
Mitochondrial tRNAVal,9606
Alternative ribosome-rescue factor A,"83333,562,300852"
Peptide chain release factor 2,"83333,562,300852"
fMet-NH-tRNA(fMet),"83333,562,300852"
mRNA,"83333,562,300852"
P-tRNAfMet,246196
P-site tRNA,9606
mRNA,9606
P-site tRNA,9606
Cytoplasmic 60S subunit biogenesis factor REH1,4932
Eukaryotic translation initiation factor 6,4932
"Translation initiation factor IF-2, mitochondrial","9823,9606,562"
"CP tRNAPhe, mitochondrial","9823,9606,562"
"P-site fMet-tRNAMet, mitochondrial","9823,9606,562"
tRNAPhe,562
HIV frameshift stimulating sequence mRNA,562
tRNA,83333
tRNA,83333
mRNA,83333
"Ribosome-binding factor PSRP1, chloroplastic",3562
Cathelicidin-3,"300852,9913"
Cathelicidin-3,"300852,9913"
mRNA,"300852,9913"
mRNA,"300852,9913"
tRNAiMet,"300852,9913"
tRNAiMet,"300852,9913"
Elongation factor Tu,562
tRNAfMet,562
tRNAPhe,562
tRNAfMet,562
mRNA,562
Peptide chain release factor 2,"83333,224308,469008"
P-site tRNA-Pro(CGG),"83333,224308,469008"
mRNA,"83333,224308,469008"
Ribosomal silencing factor RsfS,83333
mRNA,"300852,469008"
Translation initiation factor IF-3,"300852,469008"
Translation initiation factor IF-1,"300852,469008"
CYTOPLASMIC 60S SUBUNIT BIOGENESIS FACTOR REI1,"559292,469008"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
"Addiction module toxin, Txe/YoeB family","300852,562"
mRNA,"300852,562"
P-site tRNA-fMet,"300852,562"
P-site tRNA-fMet,"300852,562"
mRNA,"300852,562"
Ribosome-recycling factor,"83333,544404,300852"
Messenger RNA,"83333,544404,300852"
"Phenylalanine specific transfer RNA, tRNA-Phe","83333,544404,300852"
"Phenylalanine specific transfer RNA, tRNA-Phe","83333,544404,300852"
Messenger RNA,"83333,544404,300852"
A-site tRNA,"300852,469008"
P-site tRNA,"300852,469008"
mRNA,"300852,469008"
E-site tRNA,"300852,469008"
"RNA (5'-R(P*CP*CP*G)-3'), mRNA",562
proline tRNA,562
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
messenger RNA,300852
P-site tRNA fMet,300852
tRNA acceptor end mimic,300852
messenger RNA,300852
P-Site tRNA,9986
mRNA,9986
Deacylated tRNAi(Met),83333
P-tRNA,562
tRNAfMet,562
mRNA,562
tRNAPhe,562
tRNAfMet,562
Eukaryotic translation initiation factor 5A-1,559292
Elongation factor Tu,562
tRNAPhe,562
mRNA,562
tRNAfMet,562
tRNAfMet,562
Linopristin,"83333,32630,300852"
Linopristin,"83333,32630,300852"
Eukaryotic peptide chain release factor subunit 1,9606
P-site tRNA,9606
mRNA,9606
Eukaryotic elongation factor 2,9823
tRNAfMet,562
mRNA,562
mRNA,"300852,7536"
P-site tRNA,"300852,7536"
mRNA,"300852,7536"
P-site tRNA,"300852,7536"
mRNA,"83333,469008"
tRNAfMet,"83333,469008"
"Transcription termination factor 4, mitochondrial",9606
Mitochondrial tRNAVal,9606
messenger RNA,300852
P-site tRNA fMet,300852
P-site tRNA fMet,300852
messenger RNA,300852
tRNA,"262724,300852,83333,562"
tRNA,"262724,300852,83333,562"
mRNA,"262724,300852,83333,562"
tRNA,"262724,300852,83333,562"
tRNA,"262724,300852,83333,562"
mRNA,"262724,300852,83333,562"
Cadherin-1,9606
mRNA,9606
tRNALys,300852
mRNA,300852
tRNAfMet,300852
mRNA,300852
tRNALys,300852
tRNAfMet,300852
tRNALys,300852
tRNALys,300852
mt-tRNAVal,9606
mitochondrial tRNAVal,9606
Peptide chain release factor 2,562
P-tRNA,562
mRNA,562
tRNA,9606
tRNA,9606
mRNA,9606
P-site Arg-tRNA,83333
mRNA,83333
mRNA,"300852,9913"
P-site tRNA,"300852,9913"
mRNA,"300852,9913"
P-site tRNA,"300852,9913"
COLICIN-E3,"300852,562"
COLICIN-E3,"300852,562"
E-SITE TRNA PHE OR P-SITE TRNA PHE,"300852,562"
E-SITE TRNA PHE OR P-SITE TRNA PHE,"300852,562"
E-SITE TRNA PHE OR P-SITE TRNA PHE,"300852,562"
MRNA,"300852,562"
MRNA,"300852,562"
E-SITE TRNA PHE OR P-SITE TRNA PHE,"300852,562"
Toxin relE,"300852,83333,562"
Toxin relE,"300852,83333,562"
P-SITE AND A-SITE TRNA,9823
MRNA,9823
P-SITE AND A-SITE TRNA,9823
Alternative stalled-ribosome rescue factor B,"562,7460"
P-site tRNAPhe,"562,7460"
tRNA ASL Escherichia coli Arg1,300852
mRNA A-site fragment,300852
A-site and E-site tRNAs,300852
mRNA,300852
mRNA,300852
A-site and E-site tRNAs,300852
P-site tRNA,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
PEPTIDE CHAIN RELEASE FACTOR 2,300852
PEPTIDE CHAIN RELEASE FACTOR 2,300852
MRNA,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
MRNA,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
E-SITE TRNA PHE OR P-SITE TRNA PHE (UNMODIFIED BASES),300852
Peptide chain release factor 2,562
Alternative ribosome-rescue factor A,562
mRNA,562
P-site tRNA,562
tRNA-Ala,4932
Eukaryotic translation initiation factor 6,4932
Elongation factor P,"300852,562"
Elongation factor P,"300852,562"
"Ribosome-recycling factor, chloroplastic",3562
Midasin,4932
Ribosome assembly factor MRT4,4932
Eukaryotic translation initiation factor 6,4932
Ribosome hibernation promoting factor,"300852,562"
E-site tRNA,575584
mRNA,575584
tRNA-fMet,300852
tRNA-Lys,300852
mRNA,300852
mRNA,300852
tRNA-Lys,300852
tRNA-Lys,300852
tRNA-fMet,300852
tRNA-Lys,300852
Peptide chain release factor 1,"262724,562"
Peptide chain release factor 1,"262724,562"
mRNA,"262724,562"
mRNA,"262724,562"
Elongation factor Tu 2,83333
mRNA,83333
tRNAfMet,83333
tRNAfMet,83333
Phe-tRNAPhe,83333
ELONGATION FACTOR TU,300852
ELONGATION FACTOR TU,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
A-SITE TRNA A9C TRP-TRNA TRP,300852
A-SITE TRNA A9C TRP-TRNA TRP,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
"Transcription termination factor 4, mitochondrial",9606
mitochondrial Val tRNA,9606
E-site tRNA,3562
30S ribosome-binding factor,"83333,562"
Eukaryotic translation initiation factor 3 subunit C,9606
Eukaryotic translation initiation factor 3 subunit L,9606
Eukaryotic translation initiation factor 3 subunit K,9606
Eukaryotic translation initiation factor 1,9606
Eukaryotic translation initiation factor 3 subunit B,9606
Eukaryotic translation initiation factor 3 subunit J,9606
Eukaryotic translation initiation factor 3 subunit I,9606
Eukaryotic translation initiation factor 3 subunit E,9606
Eukaryotic translation initiation factor 3 subunit J,9606
Eukaryotic translation initiation factor 3 subunit F,9606
Eukaryotic translation initiation factor 3 subunit H,9606
Eukaryotic translation initiation factor 3 subunit A,9606
Eukaryotic translation initiation factor 3 subunit D,9606
Eukaryotic translation initiation factor 3 subunit M,9606
Trigger factor,"562,83333"
A-site tRNA,"562,83333"
E-site tRNA,"562,83333"
P-site tRNA,"562,83333"
"MT-CO3 mRNA, mitochondrial","9606,562,9823"
"P-site fMet-tRNAMet, mitochondrial","9606,562,9823"
"Translation initiation factor IF-2, mitochondrial","9606,562,9823"
Apidaecin,"83333,7460"
Peptide chain release factor RF1,"83333,7460"
mRNA,"83333,7460"
P-site Ile-tRNA,"83333,7460"
TOXIN OF THE YOEB-YEFM TOXIN-ANTITOXIN SYSTEM,"300852,83333,511693"
TOXIN OF THE YOEB-YEFM TOXIN-ANTITOXIN SYSTEM,"300852,83333,511693"
TOXIN OF THE YOEB-YEFM TOXIN-ANTITOXIN SYSTEM,"300852,83333,511693"
TOXIN OF THE YOEB-YEFM TOXIN-ANTITOXIN SYSTEM,"300852,83333,511693"
transfer RNA,"300852,83333,511693"
BACTERIAL TOXIN YOEB,"300852,83333,511693"
transfer RNA,"300852,83333,511693"
transfer RNA,"300852,83333,511693"
transfer RNA,"300852,83333,511693"
Ribosome maturation factor RimP,562
"Elongation factor G, mitochondrial",9606
mt-tRNAVal,9606
mt-tRNA,9606
mt-tRNA,9606
tRNA,"9606,469008,9986"
mRNA (polyadenylated),"9606,469008,9986"
tRNA,"9606,469008,9986"
tRNA (76-MER),300852
tRNA (5'-D(*AP*UP*CP*CP*CP*CP*GP*UP*GP*UP*CP*CP*UP*UP*GP*GP*UP*UP*CP*G)-3'),300852
mRNA,300852
mRNA,300852
P site trNA,300852
tRNA-met,480119
mRNA,480119
mRNA,83333
tRNAPro,83333
tRNAfMet,83333
Ribosomal silencing factor RsfS,511145
Elongation factor P,562
Proline tRNA,562
mRNA,562
P-SITE AND A-SITE TRNA,9823
MRNA,9823
P-SITE AND A-SITE TRNA,9823
MITORIBOSOMAL CP TRNA,9823
E-site tRNA,300852
mRNA,300852
P-site tRNA,300852
A-site tRNA,300852
P-site tRNA,300852
mRNA,300852
E-site tRNA,300852
A-site tRNA,300852
ELONGATION FACTOR TU,"300852,469008,562"
E-SITE or P-SITE TRNA FMET,"300852,469008,562"
MRNA,"300852,469008,562"
TMRNA DELA,"300852,469008,562"
E-SITE or P-SITE TRNA FMET,"300852,469008,562"
mRNA,562
PtRNA-Leu,562
P-site tRNA,300852
mRNA,300852
A/E-site tRNAs,300852
A/E-site tRNAs,300852
mRNA,300852
A/E-site tRNAs,300852
A/E-site tRNAs,300852
P-site tRNA,300852
P-site tRNA,300852
mRNA,300852
mRNA,300852
P-site tRNA,300852
Ribosome maturation factor RimP,"83333,562"
mitochondrial Val tRNA,9606
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
mRNA,300852
mRNA,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
P-site tRNA,300852
"Transcription termination factor 4, mitochondrial",9606
mitochondrial tRNAVal,9606
P-site tRNA fMet,300852
E-site tRNA Phe,300852
messenger RNA,300852
E-site and P-site tRNA (fMet),562
mRNA with 21 nt long spacer,562
E-site and P-site tRNA (fMet),562
E-site tRNA,575584
mRNA,575584
Deacylated tRNAi(Met),83333
fMet-Phe-tRNA(Phe),83333
tRNALys,300852
tRNAfMet,300852
tRNALys,300852
tRNAfMet,300852
tRNALys,300852
mRNA,300852
tRNALys,300852
mRNA,300852
"Transcription termination factor 4, mitochondrial",9606
mitochondrial tRNAVal,9606
mRNA,274
"P-site tRNA, Deacylated Initiator Methionyl-tRNA",274
"P-site tRNA, Deacylated Initiator Methionyl-tRNA",274
mRNA,274
mRNA,83333
P-site Arg-tRNA,83333
Translation initiation factor IF-2,562
mRNA,562
tRNA,562
Deacylated tRNAi(Met),83333
fMet-Phe-tRNA(Phe),83333
P-site tRNA Aspartate,562
mRNA,562
A-site Lysine tRNA Lysine,562
E-site tRNA Valine,562
Eukaryotic translation initiation factor 6,"559292,4932"
Ribosome production factor 1,"559292,4932"
Ala-tRNA (P-site),224308
Ala-tRNA (P-site),224308
mRNA,"300852,1931"
P-site tRNA,"300852,1931"
P-site tRNA,"300852,1931"
mRNA,"300852,1931"
Eukaryotic peptide chain release factor subunit 1,"9986,9606,562"
tRNA-Ala-UGC,224308
mRNA,300852
P-site tRNAfMet,300852
P-site tRNAfMet,300852
A-site tRNAAla(GGC) U32-A38,300852
A-site tRNAAla(GGC) U32-A38,300852
mRNA,300852
TRNA,9823
TRNA,9823
MITORIBOSOMAL CP TRNA,9823
Listerin,"9986,9606"
Listerin,"9986,9606"
Listerin,"9986,9606"
Listerin,"9986,9606"
Listerin,"9986,9606"
tRNA,"9986,9606"
Peptide chain release factor RF2,"83333,562"
mRNA,"83333,562"
tRNAfMet,"83333,562"
Alternative stalled-ribosome rescue factor B,"562,7460"
P-site tRNAPhe,"562,7460"
mRNA,"562,7460"
tRNA CCAend,562
Elongation factor Tu 2,83333
tRNAfMet,83333
tRNAfMet,83333
tRNALys,83333
mRNA,83333
mRNA,300852
mRNA,300852
mRNA,300852
A site ASL of tRNA-Proline CGG (unmodified),300852
A site ASL of tRNA-Proline CGG (unmodified),300852
P-site tRNA fMET,300852
tRNA acceptor end mimic,300852
mRNA,300852
P-site tRNA fMET,300852
tRNA acceptor end mimic,300852
mRNA,"272844,562"
Translation initiation factor 1A,"272844,562"
Klebsazolicin,"300852,574"
Klebsazolicin,"300852,574"
tRNA,"300852,574"
P-site tRNA,"300852,574"
tRNA,"300852,574"
"tRNA, A-site and E-site tRNAs","300852,574"
"tRNA, A-site and E-site tRNAs","300852,574"
mRNA,"300852,574"
mRNA,"300852,574"
P-site tRNA,"300852,574"
tRNA fMet,"300852,585,679895"
messenger RNA,"300852,585,679895"
messenger RNA,"300852,585,679895"
tRNA fMet,"300852,585,679895"
tRNA fMet,"300852,585,679895"
tRNA fMet,"300852,585,679895"
tRNA-Tyr,300852
mRNA,300852
tRNA-Tyr,300852
tRNA-fMet,300852
tRNA-fMet,300852
tRNA-Tyr,300852
mRNA,300852
tRNA-Tyr,300852
P-SITE TRNA FMET,300852
MRNA,300852
E-SITE TRNA PHE,300852
A-SITE PHE-TRNA PHE,300852
P-SITE TRNA FMET,300852
E-SITE TRNA PHE,300852
A-SITE PHE-TRNA PHE,300852
MRNA,300852
mRNA,83333
atRNA synthetic Stop tRNA (76-MER),83333
E-site val tRNA (76-MER),83333
P-site Isoleucine tRNA (77-MER),83333
Apidaecin,"562,7460"
Peptide chain release factor 3,"562,7460"
Peptide chain release factor RF1,"562,7460"
fMet-tRNA,"562,7460"
mRNA,"562,7460"
A-site and E-site tRNAs,"300852,32630"
A-site and E-site tRNAs,"300852,32630"
A-site and E-site tRNAs,"300852,32630"
mRNA,"300852,32630"
mRNA,"300852,32630"
P-site tRNA,"300852,32630"
P-site tRNA,"300852,32630"
A-site and E-site tRNAs,"300852,32630"
messenger RNA,300852
messenger RNA,300852
E-site tRNA,575584
E-site tRNA,575584
Elongation factor Tu 2,83333
mRNA,83333
tRNAPhe,83333
tRNAfMet,83333
tRNAfMet,83333
mRNA,"83333,663,562"
Gln-tRNA,"83333,663,562"
A-site and E-site tRNAs,300852
mRNA,300852
A-site and E-site tRNAs,300852
A-site and E-site tRNAs,300852
P-site tRNA,300852
A-site and E-site tRNAs,300852
mRNA,300852
P-site tRNA,300852
Mitochondrial transcription rescue factor 1,9606
"Probable peptide chain release factor C12orf65, mitochondrial",9606
mt-tRNAVal,9606
mt-tRNA,9606
Z-site tRNA,9986
Elongation factor 4,"83333,562"
mRNA,"83333,562"
tRNA,"83333,562"
tRNA,"83333,562"
tRNA,"83333,562"
Ribosomal silencing factor RsfS,83333
Eukaryotic translation initiation factor 6,4932
Ribosome assembly factor MRT4,4932
P-site tRNA,300852
E-site tRNA,300852
mRNA,300852
mRNA,300852
E-site tRNA,300852
P-site tRNA,300852
A-site tRNA,300852
A-site tRNA,300852
Ribosome assembly factor MRT4,4932
Eukaryotic translation initiation factor 6,4932
SECIS mRNA,562
fMet-tRNAfMet,562
mRNA,83333
tRNA,83333
mRNA,"9986,9606,469008"
tRNA(Val),"9986,9606,469008"
tRNA(Lys),"9986,9606,469008"
Peptide chain release factor 3,"562,469008,1883"
Viomycin,"562,469008,1883"
mRNA,562
PtRNA (Leu),562
AtRNA (Arg),562
E-site tRNA,300852
P-site tRNA,300852
P-site tRNA,300852
A-site tRNA,300852
mRNA,300852
E-site tRNA,300852
mRNA,300852
A-site tRNA,300852
Peptide chain release factor 1,562
mRNA,562
tRNA(fMet),562
tRNA(fMet),562
Ribosome modulation factor,"300852,83333,562"
Ribosome modulation factor,"300852,83333,562"
HIV frameshift stimulating sequence mRNA,562
tRNAPhe,562
tRNAfMet,83333
mRNA,83333
tRNAPhe,83333
Peptide chain release factor 2,"274,562"
Peptide chain release factor 2,"274,562"
mRNA,"274,562"
E-site tRNA PHE OR P-site tRNA PHE (unmodified bases),"274,562"
E-site tRNA PHE OR P-site tRNA PHE (unmodified bases),"274,562"
E-site tRNA PHE OR P-site tRNA PHE (unmodified bases),"274,562"
E-site tRNA PHE OR P-site tRNA PHE (unmodified bases),"274,562"
mRNA,"274,562"
ELONGATION FACTOR TU-A,300852
ELONGATION FACTOR TU-A,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
MRNA,300852
MRNA,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
A-SITE TRNA THR,300852
A-SITE TRNA THR,300852
E-SITE TRNA PHE OR P-SITE TRNA PHE,300852
tRNA-Phe,300852
mRNA,300852
tRNA-fMet,300852
tRNA-Phe,300852
tRNA-Phe,300852
tRNA-fMet,300852
mRNA,300852
tRNA-Phe,300852
mRNA,83333
E-site tRNA(Phe),83333
A/T tRNA(Phe),83333
P-site fMet-tRNA(fMet),83333
mRNA with 24 nt long spacer,562
E-site and P-site tRNA (fMet),562
E-site and P-site tRNA (fMet),562
mRNA,93061
P-site tRNA,93061
Eukaryotic peptide chain release factor subunit 1,9606
P-tRNA,9606
mRNA,9606
Ribosome hibernation promoting factor,679895
Ribosome modulation factor,679895
tRNA,679895
Ribosomal silencing factor RsfS,83333
Elongation factor 4,"83333,562"
tRNA,"83333,562"
tRNA,"83333,562"
mRNA,"83333,562"
tRNA,1351
mRNA,1351
Elongation factor Tu 2,562
tRNA-fMet,562
Phe-tRNA-Phe,562
tRNA-fMet,562
mRNA,562
tRNA,36329
Eukaryotic translation initiation factor 6,559292
Ribosome assembly factor MRT4,559292
Elongation factor Tu 2,562
mRNA,562
tRNA-fMet,562
tRNA-fMet,562
tRNA-Phe,562
P-site tRNA fMet,300852
P-site tRNA fMet,300852
messenger RNA,300852
messenger RNA,300852
tRNA acceptor end mimic,300852
tRNA acceptor end mimic,300852
Elongation factor Tu,562
tRNAPhe,562
tRNAfMet,562
mRNA,562
tRNAfMet,562
Eukaryotic translation initiation factor 5A-1,559292
mRNA,83333
tRNAfMet,83333
tRNAfMet,83333
tRNAPro,83333
mRNA,224308
tRNA-Asp,224308
"Ribosome recycling factor, RRF",83333
A/A site tRNA,9606
mRNA,9606
P/E site tRNA,9606
E-site tRNA,4932
P-site tRNAfMET,262724
E-site tRNA,262724
MRNA,262724
Dityromycin,"274,1931"
